linkPVID,  GivenMeanSlope, CalculatedMeanSlope
51881767, 0.104333, -0.009139
51881768, -0.016500, 0.000000
51881825, -0.117000, 0.000000
67948960, 0.837250, -0.027414
51883238, 0.108750, 0.000000
51883362, 1.153750, -0.027415
51883890, -0.358250, 0.000000
554728228, 0.942143, 0.009138
51866678, -0.021000, -0.027415
799517966, -0.055667, 0.013708
799517967, -0.000000, 0.000000
51865408, -0.024000, 0.027414
762732452, -0.005500, 0.000000
51882112, -0.071667, 0.000000
762732458, 0.064000, 0.000000
719953785, -0.004667, -0.027415
716671988, -0.013667, 0.000000
762772849, 0.011500, -0.027414
51881430, 0.111667, 0.027414
51888926, -0.023500, -0.016449
554739608, -0.094333, 0.000000
51867079, -0.069000, -0.027415
554739611, -0.145000, 0.000000
67942291, 0.491000, 0.027415
67942292, 0.263667, 0.000000
67948819, -0.195200, 0.000000
51867088, -0.094000, 0.027415
51867774, 0.085667, -0.009138
572252438, 0.107000, -0.000000
572252439, 0.049667, -0.027415
51867666, 0.047000, -0.027414
554728246, 0.009750, -0.016449
51867087, -0.326500, -0.027415
51867096, -0.513500, -0.009139
67942289, 0.151000, 0.000000
51882109, -0.012000, 0.000000
586525704, -0.143000, 0.000000
724991084, -0.131000, 0.000000
51885534, -0.084000, 0.027414
51883586, -0.906000, -0.027414
51883509, -0.846333, -0.000000
586532797, 1.083286, -0.027415
762783420, -0.171750, 0.027414
67948599, 0.153000, 0.027414
51869456, -0.680800, 0.000000
572245505, 0.060500, 0.027414
572245502, 0.059667, -0.027414
572245501, 0.067200, 0.000001
51883577, 0.514818, -0.027414
51883668, 0.656333, 0.027414
51883669, 0.287333, -0.027415
711688562, 0.466667, -0.000000
554808815, 2.451800, -0.027415
764758870, -0.162444, -0.000001
764758869, 2.302188, 0.027415
554808788, 2.547250, -0.027415
548084552, 0.929400, 0.027415
548085081, 0.698750, 0.027415
548084580, 0.732250, 0.000000
764680464, -1.311000, 0.000000
554806707, 0.035400, -0.000000
548084929, -0.069750, 0.027415
781803224, 0.742000, 0.027415
764754027, -0.332375, -0.027413
764754026, 0.428875, 0.027414
764754023, -2.404833, 0.027415
548029530, 0.480333, 0.000000
548029529, 0.892400, -0.027414
565390068, 0.297000, 0.000000
565390315, -2.974875, -0.027414
760095034, -1.144050, 0.009139
760095037, 0.620767, -0.009138
760095043, -1.418357, -0.000001
760095042, -1.208800, 0.027413
548082827, 0.887500, -0.027415
548082829, -2.184467, 0.009139
760063148, 3.104556, -0.027415
760063147, 3.037714, 0.013707
760063144, 2.347214, 0.027414
760063142, 2.487077, 0.027415
760063139, 1.006818, -0.027414
760063136, 0.341500, -0.027415
565390255, 0.823500, 0.027413
760114605, -2.219737, -0.009138
760114604, -0.644769, -0.005483
548097276, -0.692591, 0.013707
760114625, 0.560200, 0.027414
781485293, 3.499235, -0.003046
781485292, 4.391500, 0.027415
565390278, 4.424333, -0.027415
548084014, 2.633286, 0.000000
548084012, 0.614625, -0.027415
565390276, 0.754556, 0.027415
565390275, 0.111000, -0.027415
548092384, -0.171375, 0.027414
760108482, -0.308250, 0.000000
565390747, -3.290227, -0.009138
565418171, -3.385571, 0.000000
565418172, -3.054750, 0.027415
565390727, -1.167500, -0.027414
565390733, 1.806923, -0.027415
548082578, 1.747556, -0.009138
548082579, 1.785429, 0.027415
565390298, 2.430172, -0.003916
760114622, 1.716619, -0.000000
760114617, 1.029833, -0.027415
760114620, 2.130250, -0.000001
760114619, 2.332375, 0.027415
565390281, -1.523727, -0.009138
548082570, 0.602000, 0.027415
565390744, -0.678600, 0.027414
543979150, -0.374333, 0.027415
543979153, -0.459000, 0.027415
543979138, -0.472750, 0.027414
762000738, -0.283600, -0.027415
762000740, -0.936167, 0.000000
762000758, -1.088306, 0.001828
762000757, -1.649667, 0.009138
762000756, -1.225917, -0.000001
762000727, -2.196941, 0.003046
762000726, -3.074940, 0.009138
565390483, -0.550250, 0.001306
565390484, -0.526000, 0.018277
543976706, -0.446000, 0.000000
53396956, -0.194200, 0.027415
543971216, -1.247588, 0.000000
586809667, -0.363143, -0.013708
543974276, -0.416100, 0.000000
565418180, -0.009333, 0.000000
762000760, -1.884333, 0.000000
762000761, -2.854400, 0.027415
762000762, -3.018500, 0.000000
762000763, -3.860286, -0.027414
565390481, -5.106185, -0.009138
762000720, -2.242484, -0.016449
762000721, -2.735125, -0.000000
762000723, -5.108389, 0.002492
565390474, -1.556111, 0.027415
565390473, -0.945500, 0.000000
762000718, -0.931875, 0.000000
760305983, 0.502000, 0.027414
565390198, -0.747667, 0.000000
565390197, -0.912267, 0.000000
760305985, -1.366056, 0.000000
760305984, -0.179667, 0.000000
565390185, -0.403667, 0.027415
760305992, -1.144769, 0.027415
760305987, 2.591400, -0.027414
760305988, 3.342250, 0.000000
760305994, 4.642143, 0.027415
760305995, 4.105788, 0.019582
760305993, 4.043250, -0.009138
764776140, -0.320176, 0.000000
764776141, 1.887800, -0.027415
548046190, 0.813500, 0.027414
548046191, -1.121667, -0.009139
565390155, 3.314900, -0.000000
586809680, 2.598429, -0.000000
760305969, 0.665667, 0.009138
548097164, 3.844429, 0.027415
760305976, 0.818810, 0.027415
760305971, 2.723176, 0.009138
760305974, -1.284189, -0.000000
565390183, -1.406750, 0.027415
548080391, -1.295091, 0.000000
760305999, 1.599857, 0.000000
760305996, -1.534833, -0.027415
764761162, 2.692039, -0.006853
764761163, 4.299167, 0.027415
764761164, 1.148643, 0.000000
764761167, -3.897937, 0.009138
764761168, -3.840875, -0.000000
554808748, -0.238642, 0.009138
554808749, 1.628000, -0.027415
548045886, 3.007250, -0.027415
548046508, 2.093143, 0.027415
764725771, 0.204333, 0.027415
764725770, 0.072333, -0.027415
548133981, -0.097625, 0.027414
764656996, -0.771750, 0.027414
53638672, 0.003667, -0.027415
781803255, 0.339714, 0.027415
764761158, 1.235417, -0.027415
764761159, 1.468467, 0.027415
548030040, 0.161091, 0.027415
548088307, -0.278700, -0.027415
759936406, -0.490167, -0.000000
548024682, -0.216333, 0.000000
548024683, -0.463875, 0.027414
548127711, -1.020692, 0.005483
548091789, -1.374250, 0.027414
548127712, -1.332400, -0.000000
548127713, 0.779000, -0.027415
548024991, -1.097667, 0.027415
548025227, 1.333500, 0.009139
62005168, -0.187250, 0.000000
62005186, -0.086500, 0.000000
62006072, -2.444750, 0.000000
78654439, -1.048714, 0.000000
62005527, 0.117556, 0.000000
62005148, 0.006750, 0.000000
567319394, -0.621333, 0.027415
774505576, 1.262353, 0.027413
61791966, -0.154333, 0.000000
756014036, -2.524167, 0.027415
761986725, -0.278333, -0.000000
